,Crack_Spread,Crack_Z_Score,Basket_Return,SPY_Return,Rolling_Beta,Beta_Hedged_Return,VLO_Hedged_Return,MPC_Hedged_Return,PSX_Hedged_Return,DINO_Hedged_Return,PBF_Hedged_Return,DK_Hedged_Return,CVI_Hedged_Return
2021-11-09,17.4689998626709,-0.1508415356269067,0.01794389407218212,-0.003305371414023428,1.2085761560412756,0.02193868715003127,0.009449218772708136,0.02640912194314205,0.01829484697391451,0.0169442183320108,0.03996296191452799,0.04306522638350667,0.05109117958974564
2021-11-10,17.3110032081604,-0.1930422163602343,-0.022625926158401925,-0.008044866546158214,1.1974191434618708,-0.012992848949436097,-0.009427467757167017,-0.014016015300137609,-0.013077515907571578,-0.0028677034149829916,-0.02838233459917583,-0.02322683225617881,-0.01990741047902036
2021-11-11,17.567803859710693,-0.14702240762316518,0.004900586184572786,0.0003235276693500655,1.2130166139570775,0.004508141746576344,0.004346580518550735,0.006922695021591786,0.004081263827735473,0.005535991027455437,-0.003454789594260501,0.010120451547867993,-0.0043275059163814435
2021-11-12,17.58099889755249,-0.15229088846151434,0.0037803402808171075,0.007546844519723317,1.1705597382409867,-0.0050536920647356424,-0.015821136846503273,-0.012364448165539232,-0.011726549236793279,0.016144191186402975,0.02048495871963256,0.015571141862677626,0.030142346994349895
2021-11-15,17.899800300598145,-0.09168993791440436,0.008500132537855844,0.00034242229518555156,1.1612321633972211,0.008102500755222083,0.009724472714134146,0.004447590233393572,0.018296817072033924,0.00041701144785576745,-0.005981778268520499,-0.0027291702984188417,0.007582540677861241
2021-11-16,19.06419849395752,0.15366276672587822,-0.008837742515076102,0.003957824984497371,1.1606400917030213,-0.01343135286802764,0.00370791263489247,-0.024178032130132646,-0.027808486990252023,-0.0033924638655127588,0.0018009340375646481,-0.01680598518902638,-0.005444046050604565
2021-11-17,18.58999538421631,0.04230805239492063,-0.04712466528062057,-0.002429219514628267,1.050640606042413,-0.04457242861756147,-0.05543729128844204,-0.016701557364034184,-0.028162434116285072,-0.058290275563841934,-0.10488351785782214,-0.0865678748727625,-0.08191021464915442
2021-11-18,18.606400966644287,0.0376195769151397,-0.007191838409754386,0.0033964119454403807,1.0933886087507672,-0.01090543654152393,-0.0098913413643575,-0.017708864878653672,-0.015644250296726468,-0.004219032273798042,-0.0036751691168334473,0.0023200416825769135,0.007906743850062214
2021-11-19,17.940802097320557,-0.11983632654456644,-0.05290964102578961,-0.0017882535035962377,1.0770771909321262,-0.050983553965461635,-0.051649895937649945,-0.03659555787527043,-0.053855701384011835,-0.03928182959396058,-0.07815264462170339,-0.07412360825864765,-0.07832539125629939
2021-11-22,19.09120225906372,0.1299561658530165,0.025557613657822335,-0.0028151747381706116,1.101771760922636,0.02865929368640149,0.025575391548751443,0.026614603394072563,0.038789684490937594,0.026574009847447858,0.02268113111817769,0.014407860858668521,0.02805046488747982
